audio,rir,tipo,valor_aug,banda,t30,c50,c80,d50,drr
F1s3.wav,classroom_00x05y.wav,original,,125,,-10.570188961294168,-7.6028826823386915,8.062569403137978,-10.668057817176262
F1s3.wav,classroom_00x05y.wav,original,,250,2.173685259119114,-7.282846552429097,-3.7890022044641185,15.750143486824186,-5.3479842019622525
F1s3.wav,classroom_00x05y.wav,original,,500,2.002120531682345,-5.746085031101068,-3.612525433670382,21.030549215434007,-6.717934916217074
F1s3.wav,classroom_00x05y.wav,original,,1000,1.9192403721321238,-4.832465986964109,-0.9517971799681151,24.736481186564873,-13.146666536226586
F1s3.wav,classroom_00x05y.wav,original,,2000,1.962801661121999,-5.145194620956895,-2.3993695000284534,23.420372053661108,-12.268935122109328
F1s3.wav,classroom_00x05y.wav,original,,4000,1.7334488371727925,-5.209593942704646,-0.994096576160961,23.155468519771865,-11.06239809262137
F1s3.wav,classroom_00x05y.wav,original,,8000,1.3135281317389633,-4.674546013545893,-0.29771798322466336,25.419660881472378,-10.007940769503858
F1s3.wav,classroom_00x05y.wav,TR_aug,0.2,125,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.2,250,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.2,500,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.2,1000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.2,2000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.2,4000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.2,8000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.4,125,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.4,250,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.4,500,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.4,1000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.4,2000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.4,4000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,0.4,8000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,1.0,125,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,1.0,250,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,1.0,500,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,1.0,1000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,1.0,2000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,1.0,4000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,1.0,8000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,2.0,125,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,2.0,250,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,2.0,500,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,2.0,1000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,2.0,2000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,2.0,4000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,2.0,8000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,3.0,125,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,3.0,250,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,3.0,500,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,3.0,1000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,3.0,2000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,3.0,4000,,,,,
F1s3.wav,classroom_00x05y.wav,TR_aug,3.0,8000,,,,,
F1s3.wav,classroom_00x05y.wav,DRR_aug,-6.0,125,,-9.543309828354566,-7.033500067722233,9.998166691689592,-10.668045193946261
F1s3.wav,classroom_00x05y.wav,DRR_aug,-6.0,250,2.124263527688003,-5.227025297305213,-2.568665393619356,23.08412654950284,-8.387761769772537
F1s3.wav,classroom_00x05y.wav,DRR_aug,-6.0,500,1.977361530785428,-3.8603745824746847,-2.222980249938857,29.134016437046302,-8.47530311793997
